Artist,Date,Monthly Listeners
Demi Lovato,01-01-2021,27500665
Demi Lovato,01-02-2021,27464877
Demi Lovato,01-03-2021,27413684
Demi Lovato,01-04-2021,27401697
Demi Lovato,01-05-2021,27439326
Demi Lovato,01-06-2021,27488621
Demi Lovato,01-07-2021,27532115
Demi Lovato,01-08-2021,27498284
Demi Lovato,01-09-2021,27498284
Demi Lovato,01-10-2021,27424899
Demi Lovato,01-11-2021,27424899
Demi Lovato,01-12-2021,27398648
Demi Lovato,01-13-2021,27341909
Demi Lovato,01-14-2021,27341909
Demi Lovato,01-15-2021,27302018
Demi Lovato,01-16-2021,27262267
Demi Lovato,01-17-2021,27261536
Demi Lovato,01-18-2021,27261536
Demi Lovato,01-19-2021,27194900
Demi Lovato,01-20-2021,27194900
Demi Lovato,01-21-2021,27104948
Demi Lovato,01-22-2021,26982987
Demi Lovato,01-23-2021,27130356
Demi Lovato,01-24-2021,27130356
Demi Lovato,01-25-2021,27144729
Demi Lovato,01-26-2021,27138975
Demi Lovato,01-27-2021,27130921
Demi Lovato,01-28-2021,27107813
Demi Lovato,01-29-2021,26877286
Demi Lovato,01-30-2021,26918739
Demi Lovato,01-31-2021,26987116
Demi Lovato,02-01-2021,27012229
Demi Lovato,02-02-2021,27011912
Demi Lovato,02-03-2021,27008132
Demi Lovato,02-04-2021,27021635
Demi Lovato,02-05-2021,27388948
Demi Lovato,02-06-2021,27388948
Demi Lovato,02-07-2021,27608159
Demi Lovato,02-08-2021,27750427
Demi Lovato,02-09-2021,27849094
Demi Lovato,02-10-2021,27967227
Demi Lovato,02-11-2021,28116622
Demi Lovato,02-12-2021,28231124
Demi Lovato,02-13-2021,28332451
Demi Lovato,02-14-2021,28527718
Demi Lovato,02-15-2021,28591112
Demi Lovato,02-16-2021,28676419
Demi Lovato,02-17-2021,28830939
Demi Lovato,02-18-2021,28830939
Demi Lovato,02-19-2021,28923121
Demi Lovato,02-20-2021,28923121
Demi Lovato,02-21-2021,29177309
Demi Lovato,02-22-2021,29177309
Demi Lovato,02-23-2021,29266127
Demi Lovato,02-24-2021,29370432
Demi Lovato,02-25-2021,29473449
Demi Lovato,02-26-2021,29554238
Demi Lovato,02-27-2021,29722189
Demi Lovato,02-28-2021,29896062
Demi Lovato,03-01-2021,30067138
Demi Lovato,03-02-2021,30330144
Demi Lovato,03-03-2021,30330144
Demi Lovato,03-04-2021,30440208
Demi Lovato,03-05-2021,30440208
Demi Lovato,03-06-2021,30440208
Demi Lovato,03-07-2021,30538687
Demi Lovato,03-08-2021,30582100
Demi Lovato,03-09-2021,30640254
Demi Lovato,03-10-2021,30683687
Demi Lovato,03-11-2021,30691804
Demi Lovato,03-12-2021,30687438
Demi Lovato,03-13-2021,30752650
Demi Lovato,03-14-2021,30752650
Demi Lovato,03-15-2021,30766469
Demi Lovato,03-16-2021,30766469
Demi Lovato,03-17-2021,30765837
Demi Lovato,03-18-2021,30791446
Demi Lovato,03-19-2021,30802774
Demi Lovato,03-20-2021,30823985
Demi Lovato,03-21-2021,30831961
Demi Lovato,03-22-2021,30851181
Demi Lovato,03-23-2021,30839666
Demi Lovato,03-24-2021,30832172
