Artist,Date,Monthly Listeners
Dove Cameron,02-09-2021,3643054
Dove Cameron,02-10-2021,3616854
Dove Cameron,02-11-2021,3586389
Dove Cameron,02-12-2021,3563015
Dove Cameron,02-13-2021,3544344
Dove Cameron,02-14-2021,3535918
Dove Cameron,02-15-2021,3508651
Dove Cameron,02-16-2021,3508651
Dove Cameron,02-17-2021,3462494
Dove Cameron,02-18-2021,3481244
Dove Cameron,02-19-2021,3438110
Dove Cameron,02-20-2021,3438110
Dove Cameron,02-21-2021,3411274
Dove Cameron,02-22-2021,3411274
Dove Cameron,02-23-2021,3394208
Dove Cameron,02-24-2021,3375312
Dove Cameron,02-25-2021,3361601
Dove Cameron,02-26-2021,3350091
Dove Cameron,02-27-2021,3339479
Dove Cameron,02-28-2021,3332663
Dove Cameron,03-01-2021,3330409
Dove Cameron,03-02-2021,3326440
Dove Cameron,03-03-2021,3319898
Dove Cameron,03-04-2021,3313161
Dove Cameron,03-05-2021,3313161
Dove Cameron,03-06-2021,3313161
Dove Cameron,03-07-2021,3296007
Dove Cameron,03-08-2021,3292143
Dove Cameron,03-09-2021,3289122
Dove Cameron,03-10-2021,3283060
Dove Cameron,03-11-2021,3276350
Dove Cameron,03-12-2021,3266996
Dove Cameron,03-13-2021,3262451
Dove Cameron,03-14-2021,3255559
Dove Cameron,03-15-2021,3247782
Dove Cameron,03-16-2021,3247782
Dove Cameron,03-17-2021,3239117
Dove Cameron,03-18-2021,3235435
Dove Cameron,03-19-2021,3230763
Dove Cameron,03-20-2021,3223881
Dove Cameron,03-21-2021,3220597
Dove Cameron,03-22-2021,3218894
Dove Cameron,03-23-2021,3216184
Dove Cameron,03-24-2021,3210293
Dove Cameron,03-25-2021,3203819
Dove Cameron,03-26-2021,3198103
Dove Cameron,03-27-2021,3192627
Dove Cameron,03-28-2021,3188079
Dove Cameron,03-29-2021,3182032
Dove Cameron,03-30-2021,3178959
Dove Cameron,03-31-2021,3174077
Dove Cameron,04-01-2021,3169732
Dove Cameron,04-02-2021,3174284
Dove Cameron,04-03-2021,3310831
Dove Cameron,04-04-2021,3391792
Dove Cameron,04-05-2021,3446398
