Artist,Date,Monthly Listeners
Jonas Brothers,01-01-2021,28055899
Jonas Brothers,01-02-2021,27856615
Jonas Brothers,01-03-2021,27526684
Jonas Brothers,01-04-2021,27177972
Jonas Brothers,01-05-2021,27007711
Jonas Brothers,01-06-2021,26856733
Jonas Brothers,01-07-2021,26505081
Jonas Brothers,01-08-2021,26505081
Jonas Brothers,01-09-2021,26274548
Jonas Brothers,01-10-2021,25635199
Jonas Brothers,01-11-2021,25635199
Jonas Brothers,01-12-2021,25435498
Jonas Brothers,01-13-2021,25018438
Jonas Brothers,01-14-2021,25018438
Jonas Brothers,01-15-2021,24778487
Jonas Brothers,01-16-2021,24094151
Jonas Brothers,01-17-2021,23690125
Jonas Brothers,01-18-2021,23339359
Jonas Brothers,01-19-2021,22907696
Jonas Brothers,01-20-2021,22907696
Jonas Brothers,01-21-2021,22213449
Jonas Brothers,01-22-2021,20281176
Jonas Brothers,01-23-2021,18146130
Jonas Brothers,01-24-2021,18146130
Jonas Brothers,01-25-2021,18012652
Jonas Brothers,01-26-2021,17915160
Jonas Brothers,01-27-2021,17830534
Jonas Brothers,01-28-2021,17741820
Jonas Brothers,01-29-2021,17469994
Jonas Brothers,01-30-2021,17432064
Jonas Brothers,01-31-2021,17445935
Jonas Brothers,02-01-2021,17439071
Jonas Brothers,02-02-2021,17415003
Jonas Brothers,02-03-2021,17398144
Jonas Brothers,02-04-2021,17378578
Jonas Brothers,02-05-2021,17381835
Jonas Brothers,02-06-2021,17381835
Jonas Brothers,02-07-2021,17379777
Jonas Brothers,02-08-2021,17382276
Jonas Brothers,02-09-2021,17360895
Jonas Brothers,02-10-2021,17357177
Jonas Brothers,02-11-2021,17349253
Jonas Brothers,02-12-2021,17319123
Jonas Brothers,02-13-2021,17280355
Jonas Brothers,02-14-2021,17263127
Jonas Brothers,02-15-2021,17280790
Jonas Brothers,02-16-2021,17271087
Jonas Brothers,02-17-2021,17217861
Jonas Brothers,02-18-2021,17217861
Jonas Brothers,02-19-2021,17181288
Jonas Brothers,02-20-2021,17143046
Jonas Brothers,02-21-2021,17121424
Jonas Brothers,02-22-2021,17110594
Jonas Brothers,02-23-2021,17097157
Jonas Brothers,02-24-2021,17098176
Jonas Brothers,02-25-2021,17122444
Jonas Brothers,02-26-2021,17122617
Jonas Brothers,02-27-2021,17108487
Jonas Brothers,02-28-2021,17113284
Jonas Brothers,03-01-2021,17111964
Jonas Brothers,03-02-2021,17109915
Jonas Brothers,03-03-2021,17116410
Jonas Brothers,03-04-2021,17105857
Jonas Brothers,03-05-2021,17105857
Jonas Brothers,03-06-2021,17105857
Jonas Brothers,03-07-2021,17090519
Jonas Brothers,03-08-2021,17095582
Jonas Brothers,03-09-2021,17103944
Jonas Brothers,03-10-2021,17098420
Jonas Brothers,03-11-2021,17102718
Jonas Brothers,03-12-2021,17108115
Jonas Brothers,03-13-2021,17118727
Jonas Brothers,03-14-2021,17116742
Jonas Brothers,03-15-2021,17064957
Jonas Brothers,03-16-2021,17057473
Jonas Brothers,03-17-2021,17057473
Jonas Brothers,03-18-2021,17058836
Jonas Brothers,03-19-2021,17063124
Jonas Brothers,03-20-2021,17059916
Jonas Brothers,03-21-2021,17056094
Jonas Brothers,03-22-2021,17040610
Jonas Brothers,03-23-2021,17029135
Jonas Brothers,03-24-2021,17013476
Jonas Brothers,03-25-2021,16991713
Jonas Brothers,03-26-2021,16967851
Jonas Brothers,03-27-2021,16947614
Jonas Brothers,03-28-2021,16931878
Jonas Brothers,03-29-2021,16885708
Jonas Brothers,03-30-2021,16884084
Jonas Brothers,03-31-2021,16904350
Jonas Brothers,04-01-2021,16927996
Jonas Brothers,04-02-2021,16966589
Jonas Brothers,04-03-2021,16977939
Jonas Brothers,04-04-2021,16962969
Jonas Brothers,04-05-2021,16962777
Jonas Brothers,04-06-2021,16989644
Jonas Brothers,04-07-2021,16981536
Jonas Brothers,04-08-2021,16987672
Jonas Brothers,04-09-2021,16987672
Jonas Brothers,04-10-2021,16963137
Jonas Brothers,04-11-2021,16910955
Jonas Brothers,04-12-2021,16910955
Jonas Brothers,04-13-2021,16904350
Jonas Brothers,04-14-2021,16888049
Jonas Brothers,04-15-2021,16888049
Jonas Brothers,04-16-2021,16888049
Jonas Brothers,04-17-2021,16888049
Jonas Brothers,04-18-2021,16754429
Jonas Brothers,04-19-2021,16742378
Jonas Brothers,04-20-2021,16742378
Jonas Brothers,04-21-2021,16721276
Jonas Brothers,04-22-2021,16696669
Jonas Brothers,04-23-2021,16683448
Jonas Brothers,04-24-2021,16661898
Jonas Brothers,04-25-2021,16632448
Jonas Brothers,04-26-2021,16615330
Jonas Brothers,04-27-2021,16587127
Jonas Brothers,04-28-2021,16530896
Jonas Brothers,04-29-2021,16463339
Jonas Brothers,04-30-2021,16384099
Jonas Brothers,05-01-2021,16330275
Jonas Brothers,05-02-2021,16309784
Jonas Brothers,05-03-2021,16200184
Jonas Brothers,05-04-2021,16200184
Jonas Brothers,05-05-2021,16159381
Jonas Brothers,05-06-2021,16104172
Jonas Brothers,05-07-2021,16047757
Jonas Brothers,05-08-2021,16024586
Jonas Brothers,05-09-2021,15984609
Jonas Brothers,05-10-2021,15956265
Jonas Brothers,05-11-2021,15936767
Jonas Brothers,05-12-2021,15936767
Jonas Brothers,05-13-2021,15927554
Jonas Brothers,05-14-2021,15927554
Jonas Brothers,05-15-2021,15904088
Jonas Brothers,05-16-2021,15883128
Jonas Brothers,05-17-2021,15877873
Jonas Brothers,05-18-2021,15885049
Jonas Brothers,05-19-2021,15885049
Jonas Brothers,05-20-2021,15882002
Jonas Brothers,05-21-2021,15867186
Jonas Brothers,05-22-2021,15867186
Jonas Brothers,05-23-2021,16367884
Jonas Brothers,05-24-2021,16473436
Jonas Brothers,05-25-2021,16609398
Jonas Brothers,05-26-2021,16766457
Jonas Brothers,05-27-2021,17071623
Jonas Brothers,05-28-2021,17071623
Jonas Brothers,05-29-2021,17688111
Jonas Brothers,05-30-2021,17688111
Jonas Brothers,05-31-2021,18244940
Jonas Brothers,06-01-2021,18502397
Jonas Brothers,06-02-2021,18774639
Jonas Brothers,06-03-2021,19026137
Jonas Brothers,06-04-2021,19330966
Jonas Brothers,06-05-2021,19330966
Jonas Brothers,06-06-2021,19645523
Jonas Brothers,06-07-2021,20132093
Jonas Brothers,06-08-2021,20349400
Jonas Brothers,06-09-2021,20349400
Jonas Brothers,06-10-2021,20569115
Jonas Brothers,06-11-2021,20779044
Jonas Brothers,06-12-2021,21020534
Jonas Brothers,06-13-2021,21250312
Jonas Brothers,06-14-2021,21462923
Jonas Brothers,06-15-2021,21843588
Jonas Brothers,06-16-2021,21843588
Jonas Brothers,06-17-2021,22045591
Jonas Brothers,06-18-2021,22239540
Jonas Brothers,06-19-2021,22439043
Jonas Brothers,06-20-2021,22439043
Jonas Brothers,06-21-2021,22582730
Jonas Brothers,06-22-2021,22685225
Jonas Brothers,06-23-2021,22830141
Jonas Brothers,06-24-2021,22993713
Jonas Brothers,06-25-2021,23281129
Jonas Brothers,06-26-2021,23281129
Jonas Brothers,06-27-2021,23520890
Jonas Brothers,06-28-2021,23520890
Jonas Brothers,06-29-2021,23587986
Jonas Brothers,06-30-2021,23661526
Jonas Brothers,07-01-2021,23724473
Jonas Brothers,07-02-2021,23783069
Jonas Brothers,07-03-2021,23836376
Jonas Brothers,07-04-2021,23859699
Jonas Brothers,07-05-2021,23899114
Jonas Brothers,07-06-2021,23969515
Jonas Brothers,07-07-2021,24016313
Jonas Brothers,07-08-2021,24055486
Jonas Brothers,07-09-2021,24086041
Jonas Brothers,07-10-2021,24137454
Jonas Brothers,07-11-2021,24167625
Jonas Brothers,07-12-2021,24195745
Jonas Brothers,07-13-2021,24195745
Jonas Brothers,07-14-2021,24250431
Jonas Brothers,07-15-2021,24283407
Jonas Brothers,07-16-2021,24319968
Jonas Brothers,07-17-2021,24372962
Jonas Brothers,07-18-2021,24407986
Jonas Brothers,07-19-2021,24407986
Jonas Brothers,07-20-2021,24416938
Jonas Brothers,07-21-2021,24399956
Jonas Brothers,07-22-2021,24374946
Jonas Brothers,07-23-2021,24285143
Jonas Brothers,07-24-2021,24285143
Jonas Brothers,07-25-2021,24216485
Jonas Brothers,07-26-2021,24131328
Jonas Brothers,07-27-2021,24131328
Jonas Brothers,07-28-2021,24115088
Jonas Brothers,07-29-2021,24073349
Jonas Brothers,07-30-2021,24073349
Jonas Brothers,07-31-2021,24053327
Jonas Brothers,08-01-2021,24053327
Jonas Brothers,08-02-2021,24001474
Jonas Brothers,08-03-2021,23972582
Jonas Brothers,08-04-2021,23972666
Jonas Brothers,08-05-2021,23964187
Jonas Brothers,08-06-2021,23948657
Jonas Brothers,08-07-2021,23903710
Jonas Brothers,08-08-2021,23841488
Jonas Brothers,08-09-2021,23825177
Jonas Brothers,08-10-2021,23821822
Jonas Brothers,08-11-2021,23810677
Jonas Brothers,08-12-2021,23761138
Jonas Brothers,08-13-2021,23740093
Jonas Brothers,08-14-2021,23740093
Jonas Brothers,08-15-2021,23706252
Jonas Brothers,08-16-2021,23670576
Jonas Brothers,08-17-2021,23645540
Jonas Brothers,08-18-2021,23627630
Jonas Brothers,08-19-2021,23627630
Jonas Brothers,08-20-2021,23602341
Jonas Brothers,08-21-2021,23590653
Jonas Brothers,08-22-2021,23561235
Jonas Brothers,08-23-2021,23544069
Jonas Brothers,08-24-2021,23545835
Jonas Brothers,08-25-2021,23536940
Jonas Brothers,08-26-2021,23513755
Jonas Brothers,08-27-2021,23456340
Jonas Brothers,08-28-2021,23414990
Jonas Brothers,08-29-2021,23396027
Jonas Brothers,08-30-2021,23396027
Jonas Brothers,08-31-2021,23371784
Jonas Brothers,09-01-2021,23349136
Jonas Brothers,09-02-2021,23312227
Jonas Brothers,09-03-2021,23291724
Jonas Brothers,09-04-2021,23286012
Jonas Brothers,09-05-2021,23293598
Jonas Brothers,09-06-2021,23295153
Jonas Brothers,09-07-2021,23295153
Jonas Brothers,09-08-2021,23263916
Jonas Brothers,09-09-2021,23228655
Jonas Brothers,09-10-2021,23195843
Jonas Brothers,09-11-2021,23127050
Jonas Brothers,09-12-2021,23089216
Jonas Brothers,09-13-2021,23051821
Jonas Brothers,09-14-2021,23004775
Jonas Brothers,09-15-2021,22971225
Jonas Brothers,09-16-2021,22971225
Jonas Brothers,09-17-2021,22924652
Jonas Brothers,09-18-2021,23136008
Jonas Brothers,09-19-2021,23238637
Jonas Brothers,09-20-2021,23298796
Jonas Brothers,09-21-2021,23378779
Jonas Brothers,09-22-2021,23423508
Jonas Brothers,09-23-2021,23443460
Jonas Brothers,09-24-2021,23466708
Jonas Brothers,09-25-2021,23506212
Jonas Brothers,09-26-2021,23528056
Jonas Brothers,09-27-2021,23528056
Jonas Brothers,09-28-2021,23577829
Jonas Brothers,09-29-2021,23577829
Jonas Brothers,09-30-2021,23597966
Jonas Brothers,10-01-2021,23632700
Jonas Brothers,10-02-2021,23632700
Jonas Brothers,10-03-2021,23666164
Jonas Brothers,10-04-2021,23669289
Jonas Brothers,10-05-2021,23644993
Jonas Brothers,10-06-2021,23660641
Jonas Brothers,10-07-2021,23721684
Jonas Brothers,10-08-2021,23721684
Jonas Brothers,10-09-2021,23747108
Jonas Brothers,10-10-2021,23780346
Jonas Brothers,10-11-2021,23790323
Jonas Brothers,10-12-2021,23790323
Jonas Brothers,10-13-2021,23794626
Jonas Brothers,10-14-2021,23804726
Jonas Brothers,10-15-2021,23613880
Jonas Brothers,10-16-2021,23613880
Jonas Brothers,10-17-2021,23421179
Jonas Brothers,10-18-2021,23421179
Jonas Brothers,10-19-2021,23351851
Jonas Brothers,10-20-2021,23297621
Jonas Brothers,10-21-2021,23219708
Jonas Brothers,10-22-2021,23065233
Jonas Brothers,10-23-2021,23001969
Jonas Brothers,10-24-2021,22930840
Jonas Brothers,10-25-2021,22873517
Jonas Brothers,10-26-2021,22826058
Jonas Brothers,10-27-2021,22826058
Jonas Brothers,10-28-2021,22786887
Jonas Brothers,10-29-2021,22764085
Jonas Brothers,10-30-2021,22674769
Jonas Brothers,10-31-2021,22536065
Jonas Brothers,11-01-2021,22504292
Jonas Brothers,11-02-2021,22504292
Jonas Brothers,11-03-2021,22419900
Jonas Brothers,11-04-2021,22419900
Jonas Brothers,11-05-2021,22362364
Jonas Brothers,11-06-2021,22227417
Jonas Brothers,11-07-2021,22186212
Jonas Brothers,11-08-2021,22142884
Jonas Brothers,11-09-2021,22142884
Jonas Brothers,11-10-2021,22114056
Jonas Brothers,11-11-2021,22098948
Jonas Brothers,11-12-2021,22050209
Jonas Brothers,11-13-2021,22050209
Jonas Brothers,11-14-2021,22036400
Jonas Brothers,11-15-2021,22029016
Jonas Brothers,11-16-2021,21942453
Jonas Brothers,11-17-2021,21942453
Jonas Brothers,11-18-2021,21893997
Jonas Brothers,11-19-2021,21893997
Jonas Brothers,11-20-2021,21860944
Jonas Brothers,11-21-2021,21894422
Jonas Brothers,11-22-2021,21941512
Jonas Brothers,11-23-2021,21973997
Jonas Brothers,11-24-2021,21973997
Jonas Brothers,11-25-2021,22008054
Jonas Brothers,11-26-2021,22176202
Jonas Brothers,11-27-2021,22176202
Jonas Brothers,11-28-2021,22680623
Jonas Brothers,11-29-2021,22680623
Jonas Brothers,11-30-2021,22775487
Jonas Brothers,12-01-2021,22872265
Jonas Brothers,12-02-2021,23028796
Jonas Brothers,12-03-2021,23341569
Jonas Brothers,12-04-2021,23341569
Jonas Brothers,12-05-2021,23637218
Jonas Brothers,12-06-2021,23955849
Jonas Brothers,12-07-2021,24108383
Jonas Brothers,12-08-2021,24346991
Jonas Brothers,12-09-2021,24346991
Jonas Brothers,12-10-2021,24454698
Jonas Brothers,12-11-2021,24865382
Jonas Brothers,12-12-2021,25099534
Jonas Brothers,12-13-2021,25199817
Jonas Brothers,12-14-2021,25336963
Jonas Brothers,12-15-2021,25336963
Jonas Brothers,12-16-2021,25441081
Jonas Brothers,12-17-2021,25577975
Jonas Brothers,12-18-2021,25757617
Jonas Brothers,12-19-2021,26265371
Jonas Brothers,12-20-2021,26433227
Jonas Brothers,12-21-2021,26606036
Jonas Brothers,12-22-2021,26606036
Jonas Brothers,12-23-2021,27188860
Jonas Brothers,12-24-2021,28485999
Jonas Brothers,12-25-2021,28485999
Jonas Brothers,12-26-2021,29334889
Jonas Brothers,12-27-2021,29236913
Jonas Brothers,12-28-2021,29147365
Jonas Brothers,12-29-2021,29147365
Jonas Brothers,12-30-2021,29024506
Jonas Brothers,12-31-2021,28919168
Jonas Brothers,01-01-2022,28874341
Jonas Brothers,01-02-2022,28609563
Jonas Brothers,01-03-2022,28192584
Jonas Brothers,01-04-2022,28082832
Jonas Brothers,01-05-2022,27917807
Jonas Brothers,01-06-2022,27917807
Jonas Brothers,01-07-2022,27564664
Jonas Brothers,01-08-2022,27564664
Jonas Brothers,01-09-2022,27241390
Jonas Brothers,01-10-2022,26947681
Jonas Brothers,01-11-2022,26802013
Jonas Brothers,01-12-2022,26430229
Jonas Brothers,01-13-2022,26430229
Jonas Brothers,01-14-2022,26221026
Jonas Brothers,01-15-2022,25935284
Jonas Brothers,01-16-2022,25158508
Jonas Brothers,01-17-2022,24884343
Jonas Brothers,01-18-2022,24884343
Jonas Brothers,01-19-2022,24884343
Jonas Brothers,01-20-2022,23431299
Jonas Brothers,01-21-2022,21588434
Jonas Brothers,01-22-2022,21588434
Jonas Brothers,01-23-2022,19581866
Jonas Brothers,01-24-2022,19581866
Jonas Brothers,01-25-2022,19377291
Jonas Brothers,01-26-2022,19308281
Jonas Brothers,01-27-2022,19240684
Jonas Brothers,01-28-2022,19240684
Jonas Brothers,01-29-2022,19054121
Jonas Brothers,01-30-2022,19054121
Jonas Brothers,01-31-2022,19004066
Jonas Brothers,02-01-2022,19004066
Jonas Brothers,02-02-2022,18987459
Jonas Brothers,02-03-2022,18973530
Jonas Brothers,02-04-2022,18955571
Jonas Brothers,02-05-2022,18949597
Jonas Brothers,02-06-2022,18944244
Jonas Brothers,02-07-2022,18931111
Jonas Brothers,02-08-2022,18925770
Jonas Brothers,02-09-2022,18914535
Jonas Brothers,02-10-2022,18903111
Jonas Brothers,02-11-2022,18903111
Jonas Brothers,02-12-2022,18926314
Jonas Brothers,02-13-2022,18934165
Jonas Brothers,02-14-2022,18934165
Jonas Brothers,02-15-2022,18939476
Jonas Brothers,02-16-2022,18939693
Jonas Brothers,02-17-2022,18939327
Jonas Brothers,02-18-2022,18934008
Jonas Brothers,02-19-2022,18923061
Jonas Brothers,02-20-2022,18908532
Jonas Brothers,02-21-2022,18908532
Jonas Brothers,02-22-2022,18904667
Jonas Brothers,02-23-2022,18864910
Jonas Brothers,02-24-2022,18864910
Jonas Brothers,02-25-2022,18825369
Jonas Brothers,02-26-2022,18799944
Jonas Brothers,02-27-2022,18792821
Jonas Brothers,02-28-2022,18776586
Jonas Brothers,03-01-2022,18768008
Jonas Brothers,03-02-2022,18738687
Jonas Brothers,03-03-2022,18737630
Jonas Brothers,03-04-2022,18737630
Jonas Brothers,03-05-2022,18753654
Jonas Brothers,03-06-2022,18760325
Jonas Brothers,03-07-2022,18760325
Jonas Brothers,03-08-2022,18720859
Jonas Brothers,03-09-2022,18711018
Jonas Brothers,03-10-2022,18706992
Jonas Brothers,03-11-2022,18706992
Jonas Brothers,03-12-2022,18669181
Jonas Brothers,03-13-2022,18615433
Jonas Brothers,03-14-2022,18581902
Jonas Brothers,03-15-2022,18559056
Jonas Brothers,03-16-2022,18559056
Jonas Brothers,03-17-2022,18542732
Jonas Brothers,03-18-2022,18529085
Jonas Brothers,03-19-2022,18478581
Jonas Brothers,03-20-2022,18446179
Jonas Brothers,03-21-2022,18414751
Jonas Brothers,03-22-2022,18414751
Jonas Brothers,03-23-2022,18399456
Jonas Brothers,03-24-2022,18399347
Jonas Brothers,03-25-2022,18391416
Jonas Brothers,03-26-2022,18391416
Jonas Brothers,03-27-2022,18367372
Jonas Brothers,03-28-2022,18350778
Jonas Brothers,03-29-2022,18338390
Jonas Brothers,03-30-2022,18324618
Jonas Brothers,03-31-2022,18324618
Jonas Brothers,04-01-2022,18312429
Jonas Brothers,04-02-2022,18293788
Jonas Brothers,04-03-2022,18237969
Jonas Brothers,04-04-2022,18237969
Jonas Brothers,04-05-2022,18209881
Jonas Brothers,04-06-2022,18209881
Jonas Brothers,04-07-2022,18209881
Jonas Brothers,04-08-2022,18211000
Jonas Brothers,04-09-2022,18211000
Jonas Brothers,04-10-2022,18211000
Jonas Brothers,04-11-2022,18211000
Jonas Brothers,04-12-2022,18211000
Jonas Brothers,04-13-2022,18211000
Jonas Brothers,04-14-2022,18211000
