Artist,Date,Monthly Listeners
Miley Cyrus,01-01-2021,44576202
Miley Cyrus,01-02-2021,44501454
Miley Cyrus,01-03-2021,44283687
Miley Cyrus,01-04-2021,44142539
Miley Cyrus,01-05-2021,44120732
Miley Cyrus,01-06-2021,44076776
Miley Cyrus,01-07-2021,43935837
Miley Cyrus,01-08-2021,43935837
Miley Cyrus,01-09-2021,43820361
Miley Cyrus,01-10-2021,43646716
Miley Cyrus,01-11-2021,43646716
Miley Cyrus,01-12-2021,43606932
Miley Cyrus,01-13-2021,43545494
Miley Cyrus,01-14-2021,43545494
Miley Cyrus,01-15-2021,43479868
Miley Cyrus,01-16-2021,43465007
Miley Cyrus,01-17-2021,43409331
Miley Cyrus,01-18-2021,43409331
Miley Cyrus,01-19-2021,43413429
Miley Cyrus,01-20-2021,43339090
Miley Cyrus,01-21-2021,43180902
Miley Cyrus,01-22-2021,42628699
Miley Cyrus,01-23-2021,42565315
Miley Cyrus,01-24-2021,42565315
Miley Cyrus,01-25-2021,42609925
Miley Cyrus,01-26-2021,42576307
Miley Cyrus,01-27-2021,42520495
Miley Cyrus,01-28-2021,42470223
Miley Cyrus,01-29-2021,41906715
Miley Cyrus,01-30-2021,41837007
Miley Cyrus,01-31-2021,41932690
Miley Cyrus,02-01-2021,41948540
Miley Cyrus,02-02-2021,41928877
Miley Cyrus,02-03-2021,41888629
Miley Cyrus,02-04-2021,41869059
Miley Cyrus,02-05-2021,41994805
Miley Cyrus,02-06-2021,41994805
Miley Cyrus,02-07-2021,42054019
Miley Cyrus,02-08-2021,42102822
Miley Cyrus,02-09-2021,42099528
Miley Cyrus,02-10-2021,42129291
Miley Cyrus,02-11-2021,42164532
Miley Cyrus,02-12-2021,42179312
Miley Cyrus,02-13-2021,42241104
Miley Cyrus,02-14-2021,42278737
Miley Cyrus,02-15-2021,42300941
Miley Cyrus,02-16-2021,42300955
Miley Cyrus,02-17-2021,42257476
Miley Cyrus,02-18-2021,42257476
Miley Cyrus,02-19-2021,42237257
Miley Cyrus,02-20-2021,42253709
Miley Cyrus,02-21-2021,42302907
Miley Cyrus,02-22-2021,42302907
Miley Cyrus,02-23-2021,42297586
Miley Cyrus,02-24-2021,42299060
Miley Cyrus,02-25-2021,42323290
