Artist,Date,Monthly Listeners
Selena Gomez,01-01-2021,33654428
Selena Gomez,01-02-2021,33607263
Selena Gomez,01-03-2021,33508702
Selena Gomez,01-04-2021,33477239
Selena Gomez,01-05-2021,33478464
Selena Gomez,01-06-2021,33471341
Selena Gomez,01-07-2021,33438888
Selena Gomez,01-08-2021,33343395
Selena Gomez,01-09-2021,33343395
Selena Gomez,01-10-2021,33277944
Selena Gomez,01-11-2021,33277944
Selena Gomez,01-12-2021,33264169
Selena Gomez,01-13-2021,33229244
Selena Gomez,01-14-2021,33229244
Selena Gomez,01-15-2021,33206937
Selena Gomez,01-16-2021,33882729
Selena Gomez,01-17-2021,33997077
Selena Gomez,01-18-2021,33997077
Selena Gomez,01-19-2021,34235610
Selena Gomez,01-20-2021,34235610
Selena Gomez,01-21-2021,34299071
Selena Gomez,01-22-2021,34405603
Selena Gomez,01-23-2021,34934211
Selena Gomez,01-24-2021,34934211
Selena Gomez,01-25-2021,35024620
Selena Gomez,01-26-2021,35080804
Selena Gomez,01-27-2021,35134740
Selena Gomez,01-28-2021,35164819
Selena Gomez,01-29-2021,34950752
Selena Gomez,01-30-2021,35584602
Selena Gomez,01-31-2021,36234787
Selena Gomez,02-01-2021,36728295
Selena Gomez,02-02-2021,37179908
Selena Gomez,02-03-2021,37689264
Selena Gomez,02-04-2021,38182356
Selena Gomez,02-05-2021,39226254
Selena Gomez,02-06-2021,39226254
Selena Gomez,02-07-2021,39799817
Selena Gomez,02-08-2021,40245853
Selena Gomez,02-09-2021,40631610
Selena Gomez,02-10-2021,41015341
Selena Gomez,02-11-2021,41399752
Selena Gomez,02-12-2021,41752158
Selena Gomez,02-13-2021,41952889
Selena Gomez,02-14-2021,42287829
Selena Gomez,02-15-2021,42595142
Selena Gomez,02-16-2021,42833634
Selena Gomez,02-17-2021,43288927
Selena Gomez,02-18-2021,43509694
Selena Gomez,02-19-2021,43509694
Selena Gomez,02-20-2021,43739158
Selena Gomez,02-21-2021,44039301
Selena Gomez,02-22-2021,44290503
Selena Gomez,02-23-2021,44487055
Selena Gomez,02-24-2021,44718409
Selena Gomez,02-25-2021,44947781
Selena Gomez,02-26-2021,45172590
Selena Gomez,02-27-2021,45071865
Selena Gomez,02-28-2021,45037550
Selena Gomez,03-01-2021,45015555
Selena Gomez,03-02-2021,44956039
Selena Gomez,03-03-2021,44956039
Selena Gomez,03-04-2021,44928586
Selena Gomez,03-05-2021,44928586
Selena Gomez,03-06-2021,44928586
Selena Gomez,03-07-2021,45501372
Selena Gomez,03-08-2021,45610275
Selena Gomez,03-09-2021,45762977
