Artist,Date,Monthly Listeners
Vanessa Hudgens,01-01-2021,2371099
Vanessa Hudgens,01-02-2021,2364604
Vanessa Hudgens,01-03-2021,2357951
Vanessa Hudgens,01-04-2021,2357164
Vanessa Hudgens,01-05-2021,2360826
Vanessa Hudgens,01-06-2021,2363204
Vanessa Hudgens,01-07-2021,2367364
Vanessa Hudgens,01-08-2021,2369565
Vanessa Hudgens,01-09-2021,2369565
Vanessa Hudgens,01-10-2021,2374771
Vanessa Hudgens,01-11-2021,2374771
Vanessa Hudgens,01-12-2021,2377896
Vanessa Hudgens,01-13-2021,2390174
Vanessa Hudgens,01-14-2021,2390174
Vanessa Hudgens,01-15-2021,2395641
Vanessa Hudgens,01-16-2021,2412523
Vanessa Hudgens,01-17-2021,2412523
Vanessa Hudgens,01-18-2021,2427108
Vanessa Hudgens,01-19-2021,2427108
Vanessa Hudgens,01-20-2021,2433147
Vanessa Hudgens,01-21-2021,2436226
Vanessa Hudgens,01-22-2021,2442812
Vanessa Hudgens,01-23-2021,2489130
Vanessa Hudgens,01-24-2021,2489130
Vanessa Hudgens,01-25-2021,2504414
Vanessa Hudgens,01-26-2021,2514508
Vanessa Hudgens,01-27-2021,2522825
Vanessa Hudgens,01-28-2021,2532641
Vanessa Hudgens,01-29-2021,2529511
Vanessa Hudgens,01-30-2021,2546590
Vanessa Hudgens,01-31-2021,2565891
Vanessa Hudgens,02-01-2021,2579006
Vanessa Hudgens,02-02-2021,2590120
Vanessa Hudgens,02-03-2021,2600888
Vanessa Hudgens,02-04-2021,2610887
Vanessa Hudgens,02-05-2021,2621566
Vanessa Hudgens,02-06-2021,2633218
Vanessa Hudgens,02-07-2021,2645897
Vanessa Hudgens,02-08-2021,2651486
Vanessa Hudgens,02-09-2021,2656249
Vanessa Hudgens,02-10-2021,2660742
Vanessa Hudgens,02-11-2021,2666372
Vanessa Hudgens,02-12-2021,2675786
Vanessa Hudgens,02-13-2021,2685311
Vanessa Hudgens,02-14-2021,2691271
Vanessa Hudgens,02-15-2021,2709317
Vanessa Hudgens,02-16-2021,2717028
Vanessa Hudgens,02-17-2021,2718738
Vanessa Hudgens,02-18-2021,2718738
Vanessa Hudgens,02-19-2021,2719300
Vanessa Hudgens,02-20-2021,2719300
Vanessa Hudgens,02-21-2021,2720303
Vanessa Hudgens,02-22-2021,2722005
Vanessa Hudgens,02-23-2021,2725160
Vanessa Hudgens,02-24-2021,2723790
Vanessa Hudgens,02-25-2021,2720879
Vanessa Hudgens,02-26-2021,2720919
Vanessa Hudgens,02-27-2021,2717415
Vanessa Hudgens,02-28-2021,2717683
Vanessa Hudgens,03-01-2021,2714243
Vanessa Hudgens,03-02-2021,2710921
Vanessa Hudgens,03-03-2021,2710868
Vanessa Hudgens,03-04-2021,2710218
Vanessa Hudgens,03-05-2021,2710218
Vanessa Hudgens,03-06-2021,2710218
Vanessa Hudgens,03-07-2021,2708959
Vanessa Hudgens,03-08-2021,2706552
Vanessa Hudgens,03-09-2021,2707477
Vanessa Hudgens,03-10-2021,2707530
Vanessa Hudgens,03-11-2021,2702674
Vanessa Hudgens,03-12-2021,2691414
Vanessa Hudgens,03-13-2021,2683913
Vanessa Hudgens,03-14-2021,2677648
Vanessa Hudgens,03-15-2021,2657231
Vanessa Hudgens,03-16-2021,2637625
Vanessa Hudgens,03-17-2021,2637625
Vanessa Hudgens,03-18-2021,2630584
Vanessa Hudgens,03-19-2021,2624849
Vanessa Hudgens,03-20-2021,2621981
Vanessa Hudgens,03-21-2021,2618573
Vanessa Hudgens,03-22-2021,2615225
Vanessa Hudgens,03-23-2021,2608682
Vanessa Hudgens,03-24-2021,2606074
Vanessa Hudgens,03-25-2021,2600745
Vanessa Hudgens,03-26-2021,2596656
Vanessa Hudgens,03-27-2021,2594291
Vanessa Hudgens,03-28-2021,2590215
Vanessa Hudgens,03-29-2021,2584754
Vanessa Hudgens,03-30-2021,2583250
Vanessa Hudgens,03-31-2021,2581079
Vanessa Hudgens,04-01-2021,2579720
Vanessa Hudgens,04-02-2021,2574546
Vanessa Hudgens,04-03-2021,2569676
Vanessa Hudgens,04-04-2021,2563987
Vanessa Hudgens,04-05-2021,2559682
Vanessa Hudgens,04-06-2021,2555647
Vanessa Hudgens,04-07-2021,2553567
Vanessa Hudgens,04-08-2021,2553567
Vanessa Hudgens,04-09-2021,2552642
Vanessa Hudgens,04-10-2021,2552300
Vanessa Hudgens,04-11-2021,2549612
Vanessa Hudgens,04-12-2021,2545865
Vanessa Hudgens,04-13-2021,2546817
Vanessa Hudgens,04-14-2021,2547339
Vanessa Hudgens,04-15-2021,2547339
Vanessa Hudgens,04-16-2021,2547339
Vanessa Hudgens,04-17-2021,2547339
Vanessa Hudgens,04-18-2021,2538736
Vanessa Hudgens,04-19-2021,2538736
Vanessa Hudgens,04-20-2021,2536307
Vanessa Hudgens,04-21-2021,2536307
Vanessa Hudgens,04-22-2021,2536622
Vanessa Hudgens,04-23-2021,2538005
Vanessa Hudgens,04-24-2021,2537701
Vanessa Hudgens,04-25-2021,2537409
Vanessa Hudgens,04-26-2021,2535993
Vanessa Hudgens,04-27-2021,2535993
