Date,Monthly Listeners
10-09-2019,11222742
10-10-2019,11199913
10-11-2019,11176860
10-12-2019,11143064
10-13-2019,11089268
10-14-2019,11089268
10-15-2019,11071920
10-16-2019,11055677
10-17-2019,11033057
10-18-2019,11004282
10-19-2019,10978599
10-20-2019,10948631
10-21-2019,10921937
10-22-2019,10898250
10-23-2019,10886739
10-24-2019,10873991
10-25-2019,10866701
10-26-2019,10848546
10-27-2019,10828842
10-28-2019,10808833
10-29-2019,10797666
10-30-2019,10793683
10-31-2019,10773841
11-01-2019,10746222
11-02-2019,10718162
11-03-2019,10688650
11-04-2019,10666950
11-05-2019,10622330
11-06-2019,10622330
11-07-2019,10590703
11-08-2019,10568302
11-09-2019,10550226
11-10-2019,10535760
11-11-2019,10514206
11-12-2019,10470615
11-13-2019,10470615
11-14-2019,10442784
11-15-2019,10424878
11-16-2019,10407145
11-17-2019,10388997
11-18-2019,10377065
11-19-2019,10366715
11-20-2019,10338546
11-21-2019,10338546
11-22-2019,10324539
11-23-2019,10316023
11-24-2019,10308631
11-25-2019,10285149
11-26-2019,10272312
11-27-2019,10272312
11-28-2019,10264772
11-29-2019,10264772
11-30-2019,10256417
12-01-2019,10251198
12-02-2019,10248547
12-03-2019,10247741
12-04-2019,10248110
12-05-2019,10256478
12-06-2019,10315335
12-07-2019,10380346
12-08-2019,10414568
12-09-2019,10447723
12-10-2019,10478721
12-11-2019,10533230
12-12-2019,10547783
12-13-2019,10547783
12-14-2019,10568329
12-15-2019,10589821
12-16-2019,10601459
12-17-2019,10619191
12-18-2019,10619191
12-19-2019,10628489
12-20-2019,10632861
12-21-2019,10649203
12-22-2019,10656301
12-23-2019,10656301
12-24-2019,10682119
12-25-2019,10715616
12-26-2019,10699977
12-27-2019,10691876
12-28-2019,10700986
12-29-2019,10701950
12-30-2019,10698469
12-31-2019,10717345
01-01-2020,10760669
01-02-2020,10714289
01-03-2020,10670316
01-04-2020,10638494
01-05-2020,10613359
01-06-2020,10585306
01-07-2020,10560928
01-08-2020,10549181
01-09-2020,10549181
01-10-2020,10542436
01-11-2020,10532677
01-12-2020,10511098
01-13-2020,10503868
01-14-2020,10501310
01-15-2020,10508105
01-16-2020,10514026
01-17-2020,10510759
01-18-2020,10501693
01-19-2020,10472363
01-20-2020,10472363
01-21-2020,10459720
01-22-2020,10418573
01-23-2020,10422724
01-24-2020,10427888
01-25-2020,10419355
01-26-2020,10419355
01-27-2020,10408550
01-28-2020,10384939
01-29-2020,10328956
01-30-2020,10359924
01-31-2020,10372565
02-01-2020,10365524
02-02-2020,10362744
02-03-2020,10354432
02-04-2020,10354432
02-05-2020,10354432
02-06-2020,10356219
02-07-2020,10347310
02-08-2020,10343670
02-09-2020,10346491
02-10-2020,10346491
02-11-2020,10331087
02-12-2020,10331087
02-13-2020,10316336
02-14-2020,10393829
02-15-2020,10443033
02-16-2020,10443033
02-17-2020,10473684
02-18-2020,10540852
02-19-2020,10540852
02-20-2020,10588754
02-21-2020,10588754
02-22-2020,10588754
02-23-2020,10588754
02-24-2020,10566749
02-25-2020,10533369
02-26-2020,10533369
02-27-2020,10493362
02-28-2020,10461599
02-29-2020,10404435
03-01-2020,10404435
03-02-2020,10381542
03-03-2020,10318306
03-04-2020,10318306
03-05-2020,10273357
03-06-2020,10276862
03-07-2020,10276862
03-08-2020,10288502
03-09-2020,10279031
03-10-2020,10262821
03-11-2020,10242247
03-12-2020,10216994
03-13-2020,10180995
03-14-2020,10080546
03-15-2020,10012030
03-16-2020,9952686
03-17-2020,9878805
03-18-2020,9764182
03-19-2020,9764182
03-20-2020,9707529
03-21-2020,9637747
