Artist,Date,Monthly Listeners
Bridgit Mendler,01-01-2021,3229522
Bridgit Mendler,01-02-2021,3221287
Bridgit Mendler,01-03-2021,3221373
Bridgit Mendler,01-04-2021,3226329
Bridgit Mendler,01-05-2021,3237274
Bridgit Mendler,01-06-2021,3243253
Bridgit Mendler,01-07-2021,3250331
Bridgit Mendler,01-08-2021,3266229
Bridgit Mendler,01-09-2021,3266229
Bridgit Mendler,01-10-2021,3278103
Bridgit Mendler,01-11-2021,3278103
Bridgit Mendler,01-12-2021,3283495
Bridgit Mendler,01-13-2021,3301142
Bridgit Mendler,01-14-2021,3301142
Bridgit Mendler,01-15-2021,3309351
Bridgit Mendler,01-16-2021,3321726
Bridgit Mendler,01-17-2021,3329954
Bridgit Mendler,01-18-2021,3329954
Bridgit Mendler,01-19-2021,3337958
Bridgit Mendler,01-20-2021,3351165
Bridgit Mendler,01-21-2021,3357881
Bridgit Mendler,01-22-2021,3360688
Bridgit Mendler,01-23-2021,3414669
Bridgit Mendler,01-24-2021,3414669
Bridgit Mendler,01-25-2021,3426678
Bridgit Mendler,01-26-2021,3437791
Bridgit Mendler,01-27-2021,3449694
Bridgit Mendler,01-28-2021,3457128
Bridgit Mendler,01-29-2021,3456750
Bridgit Mendler,01-30-2021,3483210
Bridgit Mendler,01-31-2021,3504005
Bridgit Mendler,02-01-2021,3519295
Bridgit Mendler,02-02-2021,3526663
Bridgit Mendler,02-03-2021,3532979
Bridgit Mendler,02-04-2021,3538807
Bridgit Mendler,02-05-2021,3558569
Bridgit Mendler,02-06-2021,3558569
Bridgit Mendler,02-07-2021,3567180
Bridgit Mendler,02-08-2021,3572206
Bridgit Mendler,02-09-2021,3575257
Bridgit Mendler,02-10-2021,3580352
Bridgit Mendler,02-11-2021,3584739
Bridgit Mendler,02-12-2021,3587001
Bridgit Mendler,02-13-2021,3586328
Bridgit Mendler,02-14-2021,3592307
Bridgit Mendler,02-15-2021,3598073
Bridgit Mendler,02-16-2021,3599434
Bridgit Mendler,02-17-2021,3601945
Bridgit Mendler,02-18-2021,3603343
Bridgit Mendler,02-19-2021,3597919
Bridgit Mendler,02-20-2021,3597919
Bridgit Mendler,02-21-2021,3596220
Bridgit Mendler,02-22-2021,3596220
Bridgit Mendler,02-23-2021,3599249
Bridgit Mendler,02-24-2021,3594955
Bridgit Mendler,02-25-2021,3595263
Bridgit Mendler,02-26-2021,3591877
Bridgit Mendler,02-27-2021,3591170
Bridgit Mendler,02-28-2021,3590617
Bridgit Mendler,03-01-2021,3594955
Bridgit Mendler,03-02-2021,3604462
Bridgit Mendler,03-03-2021,3604462
Bridgit Mendler,03-04-2021,3606205
Bridgit Mendler,03-05-2021,3606205
Bridgit Mendler,03-06-2021,3606205
Bridgit Mendler,03-07-2021,3612268
Bridgit Mendler,03-08-2021,3616508
Bridgit Mendler,03-09-2021,3620701
Bridgit Mendler,03-10-2021,3623327
Bridgit Mendler,03-11-2021,3631243
Bridgit Mendler,03-12-2021,3633544
Bridgit Mendler,03-13-2021,3644313
Bridgit Mendler,03-14-2021,3646869
Bridgit Mendler,03-15-2021,3644216
Bridgit Mendler,03-16-2021,3655652
Bridgit Mendler,03-17-2021,3655652
Bridgit Mendler,03-18-2021,3664311
Bridgit Mendler,03-19-2021,3664574
Bridgit Mendler,03-20-2021,3659743
Bridgit Mendler,03-21-2021,3660661
Bridgit Mendler,03-22-2021,3664146
Bridgit Mendler,03-23-2021,3666817
Bridgit Mendler,03-24-2021,3673308
Bridgit Mendler,03-25-2021,3675137
Bridgit Mendler,03-26-2021,3677535
Bridgit Mendler,03-27-2021,3680742
Bridgit Mendler,03-28-2021,3684899
Bridgit Mendler,03-29-2021,3682550
Bridgit Mendler,03-30-2021,3691436
Bridgit Mendler,03-31-2021,3705283
Bridgit Mendler,04-01-2021,3709469
Bridgit Mendler,04-02-2021,3715366
Bridgit Mendler,04-03-2021,3720357
Bridgit Mendler,04-04-2021,3720809
Bridgit Mendler,04-05-2021,3723698
Bridgit Mendler,04-06-2021,3727224
Bridgit Mendler,04-07-2021,3730236
Bridgit Mendler,04-08-2021,3731675
Bridgit Mendler,04-09-2021,3738263
Bridgit Mendler,04-10-2021,3738263
Bridgit Mendler,04-11-2021,3739642
Bridgit Mendler,04-12-2021,3737309
Bridgit Mendler,04-13-2021,3745996
Bridgit Mendler,04-14-2021,3746602
Bridgit Mendler,04-15-2021,3746602
Bridgit Mendler,04-16-2021,3746602
Bridgit Mendler,04-17-2021,3746602
Bridgit Mendler,04-18-2021,3749134
Bridgit Mendler,04-19-2021,3749134
Bridgit Mendler,04-20-2021,3750421
Bridgit Mendler,04-21-2021,3757056
Bridgit Mendler,04-22-2021,3761889
Bridgit Mendler,04-23-2021,3761708
Bridgit Mendler,04-24-2021,3762286
Bridgit Mendler,04-25-2021,3766707
Bridgit Mendler,04-26-2021,3770783
Bridgit Mendler,04-27-2021,3767579
Bridgit Mendler,04-28-2021,3763625
Bridgit Mendler,04-29-2021,3761094
Bridgit Mendler,04-30-2021,3755402
Bridgit Mendler,05-01-2021,3749992
Bridgit Mendler,05-02-2021,3750993
Bridgit Mendler,05-03-2021,3754576
Bridgit Mendler,05-04-2021,3752998
Bridgit Mendler,05-05-2021,3752353
Bridgit Mendler,05-06-2021,3752353
Bridgit Mendler,05-07-2021,3751673
